gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
2018020892,/api/v1/game/2018020892/feed/live,R,20182019,2019-02-16T18:00:00Z,Live,3,In Progress,3,FALSE,1,23,28,7,league,17,Detroit Red Wings,/api/v1/teams/17,3,26,24,7,league,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2018020892/content
2018020893,/api/v1/game/2018020893/feed/live,R,20182019,2019-02-16T18:00:00Z,Live,3,In Progress,3,FALSE,3,34,16,7,league,20,Calgary Flames,/api/v1/teams/20,2,30,20,7,league,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2018020893/content
2018020894,/api/v1/game/2018020894/feed/live,R,20182019,2019-02-16T20:00:00Z,Preview,2,Pre-Game,2,FALSE,0,29,22,5,league,19,St. Louis Blues,/api/v1/teams/19,0,23,23,11,league,21,Colorado Avalanche,/api/v1/teams/21,5064,Pepsi Center,/api/v1/venues/5064,/api/v1/game/2018020894/content
2018020898,/api/v1/game/2018020898/feed/live,R,20182019,2019-02-17T00:00:00Z,Preview,1,Scheduled,1,FALSE,0,36,18,3,league,10,Toronto Maple Leafs,/api/v1/teams/10,0,25,27,5,league,53,Arizona Coyotes,/api/v1/teams/53,5043,Gila River Arena,/api/v1/venues/5043,/api/v1/game/2018020898/content
2018020897,/api/v1/game/2018020897/feed/live,R,20182019,2019-02-17T00:00:00Z,Preview,1,Scheduled,1,FALSE,0,21,31,5,league,9,Ottawa Senators,/api/v1/teams/9,0,36,19,3,league,52,Winnipeg Jets,/api/v1/teams/52,5058,Bell MTS Place,/api/v1/venues/5058,/api/v1/game/2018020897/content
2018020895,/api/v1/game/2018020895/feed/live,R,20182019,2019-02-17T00:00:00Z,Preview,1,Scheduled,1,FALSE,0,31,19,7,league,8,Montréal Canadiens,/api/v1/teams/8,0,43,11,4,league,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2018020895/content
2018020896,/api/v1/game/2018020896/feed/live,R,20182019,2019-02-17T00:00:00Z,Preview,1,Scheduled,1,FALSE,0,24,28,5,league,22,Edmonton Oilers,/api/v1/teams/22,0,34,17,6,league,2,New York Islanders,/api/v1/teams/2,5026,Barclays Center,/api/v1/venues/5026,/api/v1/game/2018020896/content
2018020899,/api/v1/game/2018020899/feed/live,R,20182019,2019-02-17T01:00:00Z,Preview,1,Scheduled,1,FALSE,0,29,23,5,league,25,Dallas Stars,/api/v1/teams/25,0,30,22,6,league,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2018020899/content
2018020900,/api/v1/game/2018020900/feed/live,R,20182019,2019-02-17T01:30:00Z,Preview,1,Scheduled,1,FALSE,0,32,21,3,league,29,Columbus Blue Jackets,/api/v1/teams/29,0,24,25,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020900/content
2018020901,/api/v1/game/2018020901/feed/live,R,20182019,2019-02-17T03:00:00Z,Preview,1,Scheduled,1,FALSE,0,34,21,5,league,18,Nashville Predators,/api/v1/teams/18,0,31,24,4,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020901/content
2018020902,/api/v1/game/2018020902/feed/live,R,20182019,2019-02-17T03:00:00Z,Preview,1,Scheduled,1,FALSE,0,26,26,7,league,23,Vancouver Canucks,/api/v1/teams/23,0,34,17,7,league,28,San Jose Sharks,/api/v1/teams/28,NA,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2018020902/content
2018020903,/api/v1/game/2018020903/feed/live,R,20182019,2019-02-17T03:30:00Z,Preview,1,Scheduled,1,FALSE,0,33,17,8,league,6,Boston Bruins,/api/v1/teams/6,0,23,28,6,league,26,Los Angeles Kings,/api/v1/teams/26,NA,STAPLES Center,/api/v1/venues/null,/api/v1/game/2018020903/content
